   id,    y+,          layer,       ux_1,        yplus_1
    1     1.020881     1.000000     0.052855     1.020056
    2     1.766235     1.000000     0.057336     1.769797
    3     2.277107     1.000000     0.065783     2.287139
    4     2.695344     1.000000     0.078050     2.705553
    5     3.055251     1.000000     0.094924     3.067265
    6     3.378909     1.000000     0.115737     3.391066
    7     3.669539     1.000000     0.140740     3.686799
    8     3.945883     1.000000     0.169038     3.961024
    9     4.197681     1.000000     0.201201     4.212448
   10     4.434178     1.000000     0.238647     4.451703
   11     4.657891     1.000000     0.279382     4.682225
   12     4.877853     1.000000     0.322068     4.896786
   13     5.083930     1.000000     0.368954     5.098665
   14     5.277295     1.000000     0.421169     5.297533
   15     5.461278     1.000000     0.475939     5.491328
   16     5.639824     1.000000     0.532770     5.675932
   17     5.826285     1.000000     0.591980     5.852571
   18     5.999368     1.000000     0.652865     6.018537
   19     6.162156     1.000000     0.717726     6.177750
   20     6.317550     1.000000     0.787279     6.336276
   21     6.467703     1.000000     0.858883     6.494140
   22     6.619111     1.000000     0.931418     6.645536
   23     6.762469     1.000000     1.003928     6.790193
   24     6.902039     1.000000     1.078920     6.927628
   25     7.038277     1.000000     1.156927     7.065093
   26     7.166972     1.000000     1.233542     7.196517
   27     7.291052     1.000000     1.311079     7.320711
   28     7.417161     1.000000     1.391032     7.444523
   29     7.536775     1.000000     1.469798     7.563698
   30     7.651468     1.000000     1.547376     7.676430
   31     7.758519     1.000000     1.625594     7.784902
   32     7.864016     1.000000     1.703831     7.891929
   33     7.966345     1.000000     1.780220     7.992845
   34     8.064801     1.000000     1.856339     8.092056
   35     8.158434     1.000000     1.930109     8.185922
   36     8.248286     1.000000     2.001758     8.274982
   37     8.334083     1.000000     2.070874     8.359500
   38     8.412419     1.000000     2.136493     8.437614
   39     8.487698     1.000000     2.200124     8.512617
   40     8.560708     1.000000     2.261461     8.585428
   41     8.629362     1.000000     2.319307     8.653591
   42     8.693503     1.000000     2.373520     8.717245
   43     8.753532     1.000000     2.423927     8.776518
   44     8.809256     1.000000     2.470284     8.831446
   45     8.860396     1.000000     2.512197     8.881565
   46     8.906480     1.000000     2.549541     8.927007
   47     8.948086     1.000000     2.582115     8.967723
   48     8.985042     1.000000     2.609782     9.003691
   49     9.017285     1.000000     2.632395     9.034864
   50     9.044766     1.000000     2.649828     9.061195
   51     9.067433     1.000000     2.661977     9.082633
   52     9.085254     1.000000     2.668746     9.099108
   53     9.098070     1.000000     2.670051     9.110510
   54     9.105761     1.000000     2.665858     9.116797
   55     9.108346     1.000000     2.656216     9.118027
   56     9.105754     1.000000     2.641139     9.114149
   57     9.098349     1.000000     2.620638     9.105055
   58     9.085437     1.000000     2.594619     9.090431
   59     9.067278     1.000000     2.563086     9.069930
   60     9.042746     1.000000     2.525959     9.042779
   61     9.009983     1.000000     2.483176     9.009284
   62     8.973941     1.000000     2.434950     8.968698
   63     8.921067     1.000000     2.377015     8.913397
   64     8.874123     1.000000     2.317389     8.859072
   65     8.823299     1.000000     2.260739     8.806684
   66     8.747226     1.000000     2.192648     8.733641
   67     8.665849     1.000000     2.117702     8.652105
   68     8.581365     1.000000     2.044851     8.563787
   69     8.459133     1.000000     1.958629     8.457550
   70     8.365327     1.000000     1.872435     8.364194
   71     8.268121     1.000000     1.790199     8.266950
   72     8.166749     1.000000     1.707569     8.165544
   73     8.060612     1.000000     1.624238     8.059397
   74     7.949345     1.000000     1.540294     7.948134
   75     7.832699     1.000000     1.455963     7.831499
   76     7.710471     1.000000     1.371526     7.709285
   77     7.582471     1.000000     1.287292     7.581302
   78     7.448505     1.000000     1.203577     7.447356
   79     7.308367     1.000000     1.120704     7.307239
   80     7.161825     1.000000     1.038993     7.160718
   81     7.008619     1.000000     0.958766     7.007536
   82     6.848456     1.000000     0.880335     6.847397
   83     6.680995     1.000000     0.804010     6.679962
   84     6.505843     1.000000     0.730091     6.504836
   85     6.322539     1.000000     0.658869     6.321561
   86     6.130541     1.000000     0.590626     6.129593
   87     5.929202     1.000000     0.525630     5.928285
   88     5.717746     1.000000     0.464137     5.716861
   89     5.495224     1.000000     0.406392     5.494374
   90     5.260469     1.000000     0.352621     5.259655
   91     5.012008     1.000000     0.303036     5.011232
   92     4.747957     1.000000     0.257835     4.747222
   93     4.465835     1.000000     0.217195     4.465144
   94     4.162279     1.000000     0.181276     4.161635
   95     3.832534     1.000000     0.150221     3.831941
   96     3.469519     1.000000     0.124152     3.468982
   97     3.061847     1.000000     0.103172     3.061374
   98     2.589013     1.000000     0.087365     2.588613
   99     2.006103     1.000000     0.076791     2.005792
  100     1.158415     1.000000     0.071494     1.158235
  101     1.158415     1.000000     0.071494     1.158235
  102     2.006103     1.000000     0.076791     2.005792
  103     2.589013     1.000000     0.087365     2.588613
  104     3.061847     1.000000     0.103172     3.061374
  105     3.469519     1.000000     0.124152     3.468982
  106     3.832534     1.000000     0.150221     3.831941
  107     4.162279     1.000000     0.181276     4.161635
  108     4.465835     1.000000     0.217195     4.465144
  109     4.747957     1.000000     0.257835     4.747222
  110     5.012008     1.000000     0.303036     5.011232
  111     5.260469     1.000000     0.352621     5.259655
  112     5.495224     1.000000     0.406392     5.494374
  113     5.717746     1.000000     0.464137     5.716861
  114     5.929202     1.000000     0.525630     5.928285
  115     6.130541     1.000000     0.590626     6.129593
  116     6.322539     1.000000     0.658869     6.321561
  117     6.505843     1.000000     0.730091     6.504836
  118     6.680995     1.000000     0.804010     6.679962
  119     6.848456     1.000000     0.880335     6.847397
  120     7.008619     1.000000     0.958766     7.007536
  121     7.161825     1.000000     1.038993     7.160718
  122     7.308367     1.000000     1.120704     7.307239
  123     7.448505     1.000000     1.203577     7.447356
  124     7.582471     1.000000     1.287292     7.581302
  125     7.710471     1.000000     1.371526     7.709285
  126     7.832699     1.000000     1.455963     7.831499
  127     7.949345     1.000000     1.540294     7.948134
  128     8.060612     1.000000     1.624238     8.059397
  129     8.166749     1.000000     1.707569     8.165544
  130     8.268121     1.000000     1.790199     8.266950
  131     8.365327     1.000000     1.872435     8.364194
